epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.3515625,1.7713298797607422,,,,
0,67,,,0.5535714030265808,0.22311604022979736,1.3368511199951172,0.2132701724767685
1,99,0.6484375,1.2520798444747925,,,,
1,135,,,0.7053571343421936,0.29857200384140015,1.090469241142273,0.303548127412796
2,149,0.546875,1.3938429355621338,,,,
2,199,0.6875,0.9988450407981873,,,,
2,203,,,0.7265625,0.3305463194847107,0.9311585426330566,0.33675092458724976
3,249,0.6875,0.8988646268844604,,,,
3,271,,,0.7700892686843872,0.33959364891052246,0.739521324634552,0.347063273191452
4,299,0.7734375,0.7217814922332764,,,,
4,339,,,0.7790178656578064,0.43226009607315063,0.6496295928955078,0.4470968544483185
5,349,0.7890625,0.6119024753570557,,,,
5,399,0.8671875,0.419147789478302,,,,
5,407,,,0.796875,0.5020714402198792,0.6129353642463684,0.5145090222358704
6,449,0.8359375,0.41958367824554443,,,,
6,475,,,0.8091517686843872,0.3742879033088684,0.5771170258522034,0.39478495717048645
7,499,0.7734375,0.557918131351471,,,,
7,543,,,0.8314732313156128,0.46435829997062683,0.48557791113853455,0.4690038859844208
8,549,0.9140625,0.26874473690986633,,,,
8,599,0.8671875,0.3612027168273926,,,,
8,611,,,0.8225446343421936,0.4969981610774994,0.5060844421386719,0.501214325428009
9,649,0.84375,0.37238404154777527,,,,
9,679,,,0.8415178656578064,0.43357187509536743,0.4406917691230774,0.4395163357257843
10,699,0.921875,0.19905920326709747,,,,
10,747,,,0.8348214030265808,0.44052600860595703,0.5248249769210815,0.4402008652687073
11,749,0.84375,0.35779130458831787,,,,
11,799,0.9140625,0.2129320204257965,,,,
11,815,,,0.859375,0.5585055351257324,0.49051398038864136,0.5727748274803162
