epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.390625,1.7219524383544922,,,,
0,68,,,0.5178571343421936,0.20276415348052979,1.5590261220932007,0.21026189625263214
1,99,0.6640625,1.195313811302185,,,,
1,137,,,0.6004464030265808,0.2730231285095215,1.284719467163086,0.26268479228019714
2,149,0.65625,1.0832585096359253,,,,
2,199,0.6640625,1.0183145999908447,,,,
2,206,,,0.6294642686843872,0.2881440222263336,1.013733983039856,0.27454453706741333
3,249,0.828125,0.6744641065597534,,,,
3,275,,,0.6886160969734192,0.3397601246833801,0.8371557593345642,0.3205409348011017
4,299,0.65625,0.8133720755577087,,,,
4,344,,,0.7075892686843872,0.325023353099823,0.7421252131462097,0.3076894283294678
5,349,0.8515625,0.40761637687683105,,,,
5,399,0.828125,0.5664482116699219,,,,
5,413,,,0.7823660969734192,0.4116953909397125,0.5944727659225464,0.3907194435596466
6,449,0.875,0.41783350706100464,,,,
6,482,,,0.8046875,0.4131968319416046,0.5282512307167053,0.3921704888343811
7,499,0.828125,0.5517224073410034,,,,
7,549,0.921875,0.27652707695961,,,,
7,551,,,0.8214285969734192,0.421058714389801,0.5044604539871216,0.4090251326560974
8,599,0.9140625,0.20069614052772522,,,,
8,620,,,0.8214285969734192,0.43371954560279846,0.5000373125076294,0.41941991448402405
9,649,0.8515625,0.3218581974506378,,,,
9,689,,,0.8236607313156128,0.43905243277549744,0.48532965779304504,0.41770654916763306
10,699,0.953125,0.20411430299282074,,,,
10,749,0.921875,0.23241379857063293,,,,
10,758,,,0.8270089030265808,0.509244978427887,0.47664597630500793,0.5051743984222412
11,799,0.9140625,0.1668989211320877,,,,
11,827,,,0.8225446343421936,0.45383161306381226,0.4866366982460022,0.43161484599113464
