epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.4296875,1.7013856172561646,,,,
0,68,,,0.5267857313156128,0.18805217742919922,1.5124874114990234,0.1831376850605011
1,99,0.5859375,1.275413990020752,,,,
1,137,,,0.6160714030265808,0.3386029601097107,1.2684333324432373,0.3235056698322296
2,149,0.6171875,1.2071335315704346,,,,
2,199,0.65625,1.1356282234191895,,,,
2,206,,,0.6417410969734192,0.33857759833335876,1.1259791851043701,0.3419252336025238
3,249,0.71875,0.8319465517997742,,,,
3,275,,,0.6685267686843872,0.32905128598213196,0.914873480796814,0.31748685240745544
4,299,0.7734375,0.6612048149108887,,,,
4,344,,,0.6941964030265808,0.345734566450119,0.8527086973190308,0.33862489461898804
5,349,0.7734375,0.5973934531211853,,,,
5,399,0.75,0.6119157671928406,,,,
5,413,,,0.75,0.34618088603019714,0.7568590044975281,0.33891987800598145
6,449,0.8046875,0.499201238155365,,,,
6,482,,,0.8058035969734192,0.470048725605011,0.6463410258293152,0.46329984068870544
7,499,0.8984375,0.38595375418663025,,,,
7,549,0.84375,0.371337890625,,,,
7,551,,,0.7912946343421936,0.37922364473342896,0.6354328989982605,0.3829365372657776
8,599,0.875,0.3621813952922821,,,,
8,620,,,0.7935267686843872,0.4035499691963196,0.6377269625663757,0.3968696594238281
9,649,0.8984375,0.28743603825569153,,,,
9,689,,,0.8225446343421936,0.44625934958457947,0.5338517427444458,0.43422433733940125
10,699,0.9296875,0.25267910957336426,,,,
10,749,0.8984375,0.3032641112804413,,,,
10,758,,,0.8113839030265808,0.42577049136161804,0.6130200028419495,0.42378515005111694
11,799,0.890625,0.27241235971450806,,,,
11,827,,,0.8258928656578064,0.39132991433143616,0.5421808958053589,0.3899233341217041
