epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.4921875,1.704214096069336,,,,
0,68,,,0.5524553656578064,0.23602747917175293,1.4569272994995117,0.23101668059825897
1,99,0.5390625,1.4315924644470215,,,,
1,137,,,0.6629464030265808,0.2994532585144043,1.2053171396255493,0.30839967727661133
2,149,0.640625,1.2929713726043701,,,,
2,199,0.6875,1.003188133239746,,,,
2,206,,,0.6819196343421936,0.32552453875541687,1.0227512121200562,0.31504154205322266
3,249,0.7109375,0.8561741709709167,,,,
3,275,,,0.7299107313156128,0.32669639587402344,0.7828963994979858,0.3284412920475006
4,299,0.7890625,0.6615158915519714,,,,
4,344,,,0.7689732313156128,0.3605784475803375,0.6012576818466187,0.3572094738483429
5,349,0.7265625,0.6407289505004883,,,,
5,399,0.84375,0.43604975938796997,,,,
5,413,,,0.8191964030265808,0.4228929877281189,0.5014168620109558,0.41593852639198303
6,449,0.8359375,0.36034247279167175,,,,
6,482,,,0.8571428656578064,0.4403924345970154,0.4552293121814728,0.4273746609687805
7,499,0.8515625,0.37093544006347656,,,,
7,549,0.8671875,0.3753468990325928,,,,
7,551,,,0.8638392686843872,0.48259061574935913,0.3997771739959717,0.4721946716308594
8,599,0.90625,0.3010416328907013,,,,
8,620,,,0.8694196343421936,0.4042539894580841,0.3541870713233948,0.4092071056365967
9,649,0.9296875,0.2461157590150833,,,,
9,689,,,0.8671875,0.399709016084671,0.3292364776134491,0.38442179560661316
10,699,0.890625,0.2306334376335144,,,,
10,749,0.8671875,0.28526195883750916,,,,
10,758,,,0.8604910969734192,0.44309332966804504,0.4064086377620697,0.44133639335632324
11,799,0.890625,0.3293581008911133,,,,
11,827,,,0.875,0.4806617796421051,0.403347909450531,0.47363370656967163
