epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.40625,1.667517900466919,,,,
0,68,,,0.4977678656578064,0.25336116552352905,1.5483224391937256,0.2432238757610321
1,99,0.5625,1.360262393951416,,,,
1,137,,,0.6328125,0.2953377366065979,1.3061660528182983,0.27714860439300537
2,149,0.671875,1.1454774141311646,,,,
2,199,0.640625,1.1131500005722046,,,,
2,206,,,0.6908482313156128,0.37704989314079285,1.0679298639297485,0.36039620637893677
3,249,0.765625,0.7861983776092529,,,,
3,275,,,0.7042410969734192,0.3497283458709717,0.8788076043128967,0.33912816643714905
4,299,0.7421875,0.679577648639679,,,,
4,344,,,0.7332589030265808,0.36907532811164856,0.6960529685020447,0.3515675961971283
5,349,0.8203125,0.5406104326248169,,,,
5,399,0.7890625,0.535324215888977,,,,
5,413,,,0.7689732313156128,0.4988473951816559,0.6505886912345886,0.4894057810306549
6,449,0.8359375,0.3856908082962036,,,,
6,482,,,0.8292410969734192,0.5093529224395752,0.5437301397323608,0.4991416335105896
7,499,0.8203125,0.4238417148590088,,,,
7,549,0.828125,0.4365411102771759,,,,
7,551,,,0.8493303656578064,0.4047944247722626,0.5221617817878723,0.3921649754047394
8,599,0.8515625,0.3296254575252533,,,,
8,620,,,0.8582589030265808,0.39894428849220276,0.4990558922290802,0.3782863914966583
9,649,0.890625,0.2691907584667206,,,,
9,689,,,0.8705357313156128,0.41582855582237244,0.4925418496131897,0.4115511476993561
10,699,0.90625,0.2450905740261078,,,,
10,749,0.8828125,0.2753859758377075,,,,
10,758,,,0.8582589030265808,0.4325871765613556,0.497429758310318,0.43294113874435425
11,799,0.8828125,0.2619859576225281,,,,
11,827,,,0.8627232313156128,0.42307958006858826,0.4520392119884491,0.40579086542129517
