epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.3515625,1.7577893733978271,,,,
0,67,,,0.5368303656578064,0.23839518427848816,1.4955893754959106,0.23571749031543732
1,99,0.5859375,1.3859041929244995,,,,
1,135,,,0.6908482313156128,0.26933497190475464,1.157942533493042,0.2731248736381531
2,149,0.6640625,1.1171427965164185,,,,
2,199,0.75,0.7813949584960938,,,,
2,203,,,0.7220982313156128,0.289566308259964,0.8798089623451233,0.2918355166912079
3,249,0.7109375,0.9028288722038269,,,,
3,271,,,0.7388392686843872,0.3277170658111572,0.7705289125442505,0.32535627484321594
4,299,0.765625,0.6253374218940735,,,,
4,339,,,0.7433035969734192,0.32720842957496643,0.7460299730300903,0.31784185767173767
5,349,0.7109375,0.6217404007911682,,,,
5,399,0.8515625,0.4545057713985443,,,,
5,407,,,0.7946428656578064,0.3276485800743103,0.6570449471473694,0.31451088190078735
6,449,0.8828125,0.3661920428276062,,,,
6,475,,,0.8091517686843872,0.3548126220703125,0.6585981249809265,0.33571386337280273
7,499,0.859375,0.3732876479625702,,,,
7,543,,,0.8046875,0.35053664445877075,0.711675226688385,0.33301830291748047
8,549,0.8203125,0.4312545955181122,,,,
8,599,0.9140625,0.31395870447158813,,,,
8,611,,,0.8091517686843872,0.36782675981521606,0.7590844035148621,0.3489270806312561
9,649,0.921875,0.2815912961959839,,,,
9,679,,,0.8191964030265808,0.3586980402469635,0.6467316746711731,0.34778788685798645
10,699,0.90625,0.24990126490592957,,,,
10,747,,,0.8225446343421936,0.3903975486755371,0.685736358165741,0.378274530172348
11,749,0.9609375,0.13366807997226715,,,,
11,799,0.890625,0.2374173402786255,,,,
11,815,,,0.8191964030265808,0.39468470215797424,0.6650792360305786,0.38262295722961426
