epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.3984375,1.5696102380752563,,,,
0,68,,,0.4966517984867096,0.25090768933296204,1.6194654703140259,0.25057530403137207
1,99,0.578125,1.4337750673294067,,,,
1,137,,,0.6216517686843872,0.2820438742637634,1.3506791591644287,0.28206250071525574
2,149,0.703125,0.9881952404975891,,,,
2,199,0.6640625,1.078460693359375,,,,
2,206,,,0.6953125,0.28689903020858765,1.1521999835968018,0.28413692116737366
3,249,0.8046875,0.7150425910949707,,,,
3,275,,,0.7087053656578064,0.3120836615562439,0.9991806745529175,0.31516343355178833
4,299,0.828125,0.5442230701446533,,,,
4,344,,,0.7287946343421936,0.3365764915943146,0.8781006932258606,0.3182313144207001
5,349,0.765625,0.521690309047699,,,,
5,399,0.8828125,0.46202734112739563,,,,
5,413,,,0.796875,0.3656706213951111,0.7422634959220886,0.3424668312072754
6,449,0.8828125,0.29958948493003845,,,,
6,482,,,0.7901785969734192,0.3510141670703888,0.7220646142959595,0.34247928857803345
7,499,0.921875,0.27055010199546814,,,,
7,549,0.8359375,0.3715883195400238,,,,
7,551,,,0.8236607313156128,0.37623223662376404,0.6849512457847595,0.36669692397117615
8,599,0.8984375,0.262371301651001,,,,
8,620,,,0.8136160969734192,0.36754101514816284,0.7086342573165894,0.34986546635627747
9,649,0.859375,0.36340123414993286,,,,
9,689,,,0.8314732313156128,0.3554587960243225,0.6381575465202332,0.34343424439430237
10,699,0.9140625,0.25410228967666626,,,,
10,749,0.875,0.2592710852622986,,,,
10,758,,,0.8136160969734192,0.3809877336025238,0.7328776121139526,0.36762502789497375
11,799,0.890625,0.24905362725257874,,,,
11,827,,,0.8325892686843872,0.3832174241542816,0.6534679532051086,0.37191423773765564
