epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.4375,1.6984138488769531,,,,
0,67,,,0.5029296875,0.19685280323028564,1.5431795120239258,0.19152826070785522
1,99,0.5703125,1.3390132188796997,,,,
1,135,,,0.6669921875,0.29727113246917725,1.2817133665084839,0.28194767236709595
2,149,0.578125,1.4739141464233398,,,,
2,199,0.625,1.092424750328064,,,,
2,203,,,0.703125,0.3401767611503601,1.0730284452438354,0.32351863384246826
3,249,0.671875,0.869121789932251,,,,
3,271,,,0.7138671875,0.32401981949806213,0.9233791828155518,0.3227652907371521
4,299,0.75,0.6796123385429382,,,,
4,339,,,0.724609375,0.28732427954673767,0.843572199344635,0.2836295962333679
5,349,0.7890625,0.5786674618721008,,,,
5,399,0.8359375,0.5410420894622803,,,,
5,407,,,0.771484375,0.3991636037826538,0.8622726202011108,0.3850530683994293
6,449,0.8671875,0.4232245087623596,,,,
6,475,,,0.833984375,0.3837171196937561,0.7320456504821777,0.37115588784217834
7,499,0.8515625,0.3760535418987274,,,,
7,543,,,0.8271484375,0.3382026255130768,0.7305094003677368,0.337973952293396
8,549,0.8828125,0.33411332964897156,,,,
8,599,0.890625,0.3184690475463867,,,,
8,611,,,0.8271484375,0.385966956615448,0.6832945942878723,0.3810872733592987
9,649,0.90625,0.2352064847946167,,,,
9,679,,,0.8408203125,0.33523139357566833,0.6650413274765015,0.33406516909599304
10,699,0.8671875,0.29200661182403564,,,,
10,747,,,0.8291015625,0.39846330881118774,0.7320519685745239,0.3947615325450897
11,749,0.9453125,0.21501381695270538,,,,
11,799,0.9453125,0.13442111015319824,,,,
11,815,,,0.8349609375,0.3230258822441101,0.7185608148574829,0.3161693811416626
