epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.3515625,1.757418155670166,,,,
0,67,,,0.5357142686843872,0.23793013393878937,1.4954092502593994,0.23526695370674133
1,99,0.5859375,1.3840004205703735,,,,
1,135,,,0.6897321343421936,0.2694668173789978,1.1595737934112549,0.2728496193885803
2,149,0.6640625,1.1162275075912476,,,,
2,199,0.75,0.7787392735481262,,,,
2,203,,,0.7209821343421936,0.32571837306022644,0.8809577226638794,0.3279508948326111
3,249,0.7109375,0.9031338095664978,,,,
3,271,,,0.7377232313156128,0.3086724281311035,0.7683021426200867,0.3073602616786957
4,299,0.78125,0.6252501010894775,,,,
4,339,,,0.7433035969734192,0.3285650908946991,0.7413104176521301,0.3186769485473633
5,349,0.71875,0.6215773224830627,,,,
5,399,0.84375,0.4567716419696808,,,,
5,407,,,0.7890625,0.32443946599960327,0.6664374470710754,0.311066210269928
6,449,0.875,0.36801227927207947,,,,
6,475,,,0.8091517686843872,0.3420681655406952,0.6522179841995239,0.324025958776474
7,499,0.859375,0.3830621838569641,,,,
7,543,,,0.8069196343421936,0.3510051369667053,0.7150949835777283,0.3337880074977875
8,549,0.8203125,0.42770150303840637,,,,
8,599,0.8984375,0.3139539957046509,,,,
8,611,,,0.8136160969734192,0.3794960379600525,0.7409489750862122,0.358541876077652
9,649,0.9140625,0.28546133637428284,,,,
9,679,,,0.8002232313156128,0.347689688205719,0.7002955675125122,0.333050936460495
10,699,0.90625,0.2503497898578644,,,,
10,747,,,0.8191964030265808,0.40019410848617554,0.7021974921226501,0.3848569989204407
11,749,0.9609375,0.13273604214191437,,,,
11,799,0.875,0.25507763028144836,,,,
11,815,,,0.8136160969734192,0.3834051191806793,0.7675605416297913,0.3713706135749817
